,TARGETS,,DAT,DOC,EVN,LOC,NAT,O,ORG,PER,PRD,PRF,TIM
0,,0,0,2,0,0,0,11,2,0,3,0,0
1,DAT,0,18,0,0,0,0,1,0,0,0,0,0
2,DOC,0,0,7,0,0,0,1,0,0,0,0,0
3,EVN,0,0,0,5,1,0,6,2,0,3,0,0
4,LOC,0,0,0,0,44,0,1,0,1,0,0,0
5,NAT,0,0,0,0,2,4,0,0,1,0,0,0
6,O,0,4,2,0,7,1,3392,3,7,2,2,0
7,ORG,0,0,0,0,1,0,15,82,2,0,0,0
8,PER,0,0,0,0,0,0,1,0,63,0,0,0
9,PRD,0,0,0,0,0,0,5,3,0,12,0,0
10,PRF,0,0,0,0,0,0,6,1,0,0,29,0
11,TIM,0,0,0,0,0,0,0,0,0,0,0,8
