,TARGETS,,DAT,DOC,EVN,LOC,NAT,O,ORG,PER,PRD,PRF,TIM
0,,0,0,0,0,0,0,12,5,3,0,0,0
1,DAT,0,0,0,0,0,0,16,0,4,0,0,0
2,DOC,0,0,0,0,1,0,5,0,0,0,0,0
3,EVN,0,0,0,0,0,0,13,0,0,0,0,0
4,LOC,0,0,0,0,32,0,3,0,0,0,0,0
5,NAT,0,0,0,0,1,0,3,2,0,0,0,0
6,O,0,0,0,0,7,0,3017,21,2,0,0,0
7,ORG,0,0,0,0,8,0,21,71,0,0,0,0
8,PER,0,0,0,0,0,0,4,0,50,0,0,0
9,PRD,0,0,0,0,1,0,18,5,0,0,0,0
10,PRF,0,0,0,0,0,0,30,1,1,0,0,0
11,TIM,0,0,0,0,0,0,17,0,0,0,0,0
